Year,"Fertility rate, total (births per woman)",Country
1960,6.97725613,Arab World
1961,6.998634817,Arab World
1962,7.018724817,Arab World
1963,7.035035571,Arab World
1964,7.045690098,Arab World
1965,7.04904248,Arab World
1966,7.042589782,Arab World
1967,7.026893129,Arab World
1968,7.002192532,Arab World
1969,6.967883768,Arab World
1970,6.924981492,Arab World
1971,6.874841593,Arab World
1972,6.820079234,Arab World
1973,6.763120831,Arab World
1974,6.705269568,Arab World
1975,6.647578947,Arab World
1976,6.590203362,Arab World
1977,6.53215721,Arab World
1978,6.471967078,Arab World
1979,6.40725942,Arab World
1980,6.337064038,Arab World
1981,6.260359141,Arab World
1982,6.174983985,Arab World
1983,6.081141486,Arab World
1984,5.977996082,Arab World
1985,5.865643214,Arab World
1986,5.741149016,Arab World
1987,5.608079012,Arab World
1988,5.468058638,Arab World
1989,5.322720079,Arab World
1990,5.186831545,Arab World
1991,5.036091319,Arab World
1992,4.903709878,Arab World
1993,4.750052768,Arab World
1994,4.599175935,Arab World
1995,4.441818766,Arab World
1996,4.304188863,Arab World
1997,4.174583265,Arab World
1998,4.05398058,Arab World
1999,3.943607192,Arab World
2000,3.845712512,Arab World
2001,3.760436808,Arab World
2002,3.68728068,Arab World
2003,3.626459898,Arab World
2004,3.576135504,Arab World
2005,3.537575873,Arab World
2006,3.508948179,Arab World
2007,3.491093749,Arab World
2008,3.480700569,Arab World
2009,3.475024451,Arab World
2010,3.47038388,Arab World
2011,3.463100139,Arab World
2012,3.450653635,Arab World
2013,3.430463788,Arab World
2014,3.402058688,Arab World
2015,3.365221092,Arab World
2016,3.322465331,Arab World
2017,3.27655324,Arab World
2018,3.231091156,Arab World
2019,,Arab World
2020,,Arab World
