Year,"Fertility rate, total (births per woman)",Country
1960,2.836865283,Europe & Central Asia
1961,2.823628566,Europe & Central Asia
1962,2.804075384,Europe & Central Asia
1963,2.798283487,Europe & Central Asia
1964,2.788440289,Europe & Central Asia
1965,2.741943976,Europe & Central Asia
1966,2.709483049,Europe & Central Asia
1967,2.714593477,Europe & Central Asia
1968,2.661060422,Europe & Central Asia
1969,2.6100242,Europe & Central Asia
1970,2.562601067,Europe & Central Asia
1971,2.54286462,Europe & Central Asia
1972,2.479816612,Europe & Central Asia
1973,2.415923383,Europe & Central Asia
1974,2.402546849,Europe & Central Asia
1975,2.347591997,Europe & Central Asia
1976,2.30928614,Europe & Central Asia
1977,2.255009273,Europe & Central Asia
1978,2.219730396,Europe & Central Asia
1979,2.193588317,Europe & Central Asia
1980,2.167286341,Europe & Central Asia
1981,2.132954188,Europe & Central Asia
1982,2.141049062,Europe & Central Asia
1983,2.131091776,Europe & Central Asia
1984,2.106320491,Europe & Central Asia
1985,2.09088668,Europe & Central Asia
1986,2.097180222,Europe & Central Asia
1987,2.091578096,Europe & Central Asia
1988,2.061666633,Europe & Central Asia
1989,2.000657388,Europe & Central Asia
1990,1.957552364,Europe & Central Asia
1991,1.89269989,Europe & Central Asia
1992,1.819952811,Europe & Central Asia
1993,1.741898147,Europe & Central Asia
1994,1.698651412,Europe & Central Asia
1995,1.654251327,Europe & Central Asia
1996,1.620378316,Europe & Central Asia
1997,1.593291392,Europe & Central Asia
1998,1.571746805,Europe & Central Asia
1999,1.544585486,Europe & Central Asia
2000,1.556623551,Europe & Central Asia
2001,1.542899292,Europe & Central Asia
2002,1.555788579,Europe & Central Asia
2003,1.56969716,Europe & Central Asia
2004,1.598640894,Europe & Central Asia
2005,1.590159184,Europe & Central Asia
2006,1.620250292,Europe & Central Asia
2007,1.664994864,Europe & Central Asia
2008,1.722952351,Europe & Central Asia
2009,1.721519354,Europe & Central Asia
2010,1.728535882,Europe & Central Asia
2011,1.713863022,Europe & Central Asia
2012,1.739958155,Europe & Central Asia
2013,1.730148672,Europe & Central Asia
2014,1.757491169,Europe & Central Asia
2015,1.764686614,Europe & Central Asia
2016,1.770969653,Europe & Central Asia
2017,1.729742463,Europe & Central Asia
2018,1.710740155,Europe & Central Asia
2019,,Europe & Central Asia
2020,,Europe & Central Asia
