Year,"Fertility rate, total (births per woman)",Country
1960,6.88,Ethiopia
1961,6.877,Ethiopia
1962,6.875,Ethiopia
1963,6.872,Ethiopia
1964,6.867,Ethiopia
1965,6.864,Ethiopia
1966,6.867,Ethiopia
1967,6.88,Ethiopia
1968,6.903,Ethiopia
1969,6.937,Ethiopia
1970,6.978,Ethiopia
1971,7.02,Ethiopia
1972,7.06,Ethiopia
1973,7.094,Ethiopia
1974,7.121,Ethiopia
1975,7.143,Ethiopia
1976,7.167,Ethiopia
1977,7.195,Ethiopia
1978,7.23,Ethiopia
1979,7.271,Ethiopia
1980,7.316,Ethiopia
1981,7.36,Ethiopia
1982,7.397,Ethiopia
1983,7.424,Ethiopia
1984,7.437,Ethiopia
1985,7.435,Ethiopia
1986,7.418,Ethiopia
1987,7.387,Ethiopia
1988,7.347,Ethiopia
1989,7.298,Ethiopia
1990,7.246,Ethiopia
1991,7.193,Ethiopia
1992,7.141,Ethiopia
1993,7.092,Ethiopia
1994,7.043,Ethiopia
1995,6.991,Ethiopia
1996,6.931,Ethiopia
1997,6.858,Ethiopia
1998,6.769,Ethiopia
1999,6.664,Ethiopia
2000,6.543,Ethiopia
2001,6.407,Ethiopia
2002,6.262,Ethiopia
2003,6.112,Ethiopia
2004,5.961,Ethiopia
2005,5.812,Ethiopia
2006,5.667,Ethiopia
2007,5.526,Ethiopia
2008,5.39,Ethiopia
2009,5.26,Ethiopia
2010,5.136,Ethiopia
2011,5.017,Ethiopia
2012,4.901,Ethiopia
2013,4.787,Ethiopia
2014,4.675,Ethiopia
2015,4.565,Ethiopia
2016,4.456,Ethiopia
2017,4.35,Ethiopia
2018,4.247,Ethiopia
2019,,Ethiopia
2020,,Ethiopia
