Year,"Foreign direct investment (net inflows, BoP, current US$)",Country
1960,,Ethiopia
1961,,Ethiopia
1962,,Ethiopia
1963,,Ethiopia
1964,,Ethiopia
1965,,Ethiopia
1966,,Ethiopia
1967,,Ethiopia
1968,,Ethiopia
1969,,Ethiopia
1970,,Ethiopia
1971,,Ethiopia
1972,,Ethiopia
1973,,Ethiopia
1974,,Ethiopia
1975,,Ethiopia
1976,,Ethiopia
1977,5845410.631,Ethiopia
1978,0,Ethiopia
1979,0,Ethiopia
1980,0,Ethiopia
1981,0,Ethiopia
1982,0,Ethiopia
1983,0,Ethiopia
1984,0,Ethiopia
1985,0,Ethiopia
1986,0,Ethiopia
1987,0,Ethiopia
1988,0,Ethiopia
1989,0,Ethiopia
1990,0,Ethiopia
1991,0,Ethiopia
1992,170000,Ethiopia
1993,3500000,Ethiopia
1994,17210000,Ethiopia
1995,14140000,Ethiopia
1996,21930000,Ethiopia
1997,288490000,Ethiopia
1998,260670000,Ethiopia
1999,69980000,Ethiopia
2000,134640000,Ethiopia
2001,349400000,Ethiopia
2002,255000000,Ethiopia
2003,465000000,Ethiopia
2004,545100000,Ethiopia
2005,265111675.5,Ethiopia
2006,545257102.2,Ethiopia
2007,222000573,Ethiopia
2008,108537544,Ethiopia
2009,221459581.4,Ethiopia
2010,288271568.3,Ethiopia
2011,628624806,Ethiopia
2012,278562822.2,Ethiopia
2013,1343876024,Ethiopia
2014,1855052154,Ethiopia
2015,2626517918,Ethiopia
2016,4142937496,Ethiopia
2017,4017159565,Ethiopia
2018,3360419369,Ethiopia
2019,2516228020,Ethiopia
2020,,Ethiopia
