Year,GNI (current US dollar),Country
1960,,Ethiopia
1961,,Ethiopia
1962,,Ethiopia
1963,,Ethiopia
1964,,Ethiopia
1965,,Ethiopia
1966,,Ethiopia
1967,,Ethiopia
1968,,Ethiopia
1969,,Ethiopia
1970,,Ethiopia
1971,,Ethiopia
1972,,Ethiopia
1973,,Ethiopia
1974,,Ethiopia
1975,,Ethiopia
1976,,Ethiopia
1977,,Ethiopia
1978,,Ethiopia
1979,,Ethiopia
1980,,Ethiopia
1981,7317850048,Ethiopia
1982,7698885749,Ethiopia
1983,8554364251,Ethiopia
1984,8076785459,Ethiopia
1985,9447700386,Ethiopia
1986,9817322464,Ethiopia
1987,10480006667,Ethiopia
1988,10844346377,Ethiopia
1989,11396246715,Ethiopia
1990,12108119662,Ethiopia
1991,13390412126,Ethiopia
1992,10429217520,Ethiopia
1993,8734430672,Ethiopia
1994,6848460204,Ethiopia
1995,7603562640,Ethiopia
1996,8504359179,Ethiopia
1997,8492265912,Ethiopia
1998,7751811218,Ethiopia
1999,7648343128,Ethiopia
2000,8182263337,Ethiopia
2001,8180069454,Ethiopia
2002,7797207616,Ethiopia
2003,8557581132,Ethiopia
2004,10067656709,Ethiopia
2005,12365354408,Ethiopia
2006,15242461911,Ethiopia
2007,19721806402,Ethiopia
2008,27086850119,Ethiopia
2009,32395738209,Ethiopia
2010,29825574928,Ethiopia
2011,31883271774,Ethiopia
2012,43214529006,Ethiopia
2013,47541429851,Ethiopia
2014,55459432981,Ethiopia
2015,64326834730,Ethiopia
2016,74053937525,Ethiopia
2017,81285191646,Ethiopia
2018,83892033920,Ethiopia
2019,95640552203,Ethiopia
2020,,Ethiopia
