Year,"Fertility rate, total (births per woman)",Country
1960,5.906,India
1961,5.902,India
1962,5.894,India
1963,5.88,India
1964,5.859,India
1965,5.83,India
1966,5.794,India
1967,5.751,India
1968,5.702,India
1969,5.648,India
1970,5.587,India
1971,5.519,India
1972,5.444,India
1973,5.363,India
1974,5.278,India
1975,5.192,India
1976,5.108,India
1977,5.029,India
1978,4.956,India
1979,4.889,India
1980,4.827,India
1981,4.766,India
1982,4.703,India
1983,4.636,India
1984,4.563,India
1985,4.484,India
1986,4.399,India
1987,4.311,India
1988,4.222,India
1989,4.132,India
1990,4.045,India
1991,3.959,India
1992,3.877,India
1993,3.799,India
1994,3.723,India
1995,3.651,India
1996,3.582,India
1997,3.514,India
1998,3.446,India
1999,3.379,India
2000,3.311,India
2001,3.244,India
2002,3.176,India
2003,3.109,India
2004,3.041,India
2005,2.972,India
2006,2.899,India
2007,2.823,India
2008,2.743,India
2009,2.661,India
2010,2.581,India
2011,2.506,India
2012,2.439,India
2013,2.381,India
2014,2.333,India
2015,2.295,India
2016,2.266,India
2017,2.243,India
2018,2.222,India
2019,,India
2020,,India
