Year,"Fertility rate, total (births per woman)",Country
1960,5.882474386,Latin America & Caribbean
1961,5.871320995,Latin America & Caribbean
1962,5.847855344,Latin America & Caribbean
1963,5.810633939,Latin America & Caribbean
1964,5.759288055,Latin America & Caribbean
1965,5.692991139,Latin America & Caribbean
1966,5.613326264,Latin America & Caribbean
1967,5.522358368,Latin America & Caribbean
1968,5.424048094,Latin America & Caribbean
1969,5.320315364,Latin America & Caribbean
1970,5.213539685,Latin America & Caribbean
1971,5.105315262,Latin America & Caribbean
1972,4.997856997,Latin America & Caribbean
1973,4.892004977,Latin America & Caribbean
1974,4.789033794,Latin America & Caribbean
1975,4.688121068,Latin America & Caribbean
1976,4.589430715,Latin America & Caribbean
1977,4.49069143,Latin America & Caribbean
1978,4.391393026,Latin America & Caribbean
1979,4.291610986,Latin America & Caribbean
1980,4.190963055,Latin America & Caribbean
1981,4.089516397,Latin America & Caribbean
1982,3.988057273,Latin America & Caribbean
1983,3.88707845,Latin America & Caribbean
1984,3.787185694,Latin America & Caribbean
1985,3.689062327,Latin America & Caribbean
1986,3.593975926,Latin America & Caribbean
1987,3.502926143,Latin America & Caribbean
1988,3.416402656,Latin America & Caribbean
1989,3.334310668,Latin America & Caribbean
1990,3.257018168,Latin America & Caribbean
1991,3.184002124,Latin America & Caribbean
1992,3.11509557,Latin America & Caribbean
1993,3.048882144,Latin America & Caribbean
1994,2.985228801,Latin America & Caribbean
1995,2.923249429,Latin America & Caribbean
1996,2.861066111,Latin America & Caribbean
1997,2.801106079,Latin America & Caribbean
1998,2.742009163,Latin America & Caribbean
1999,2.684094383,Latin America & Caribbean
2000,2.626889924,Latin America & Caribbean
2001,2.569150531,Latin America & Caribbean
2002,2.512647107,Latin America & Caribbean
2003,2.458647978,Latin America & Caribbean
2004,2.407416765,Latin America & Caribbean
2005,2.359982592,Latin America & Caribbean
2006,2.315936888,Latin America & Caribbean
2007,2.276735993,Latin America & Caribbean
2008,2.242664663,Latin America & Caribbean
2009,2.212370177,Latin America & Caribbean
2010,2.185701687,Latin America & Caribbean
2011,2.162609012,Latin America & Caribbean
2012,2.141891893,Latin America & Caribbean
2013,2.12232937,Latin America & Caribbean
2014,2.103294241,Latin America & Caribbean
2015,2.084449891,Latin America & Caribbean
2016,2.065414714,Latin America & Caribbean
2017,2.046013077,Latin America & Caribbean
2018,2.027390933,Latin America & Caribbean
2019,,Latin America & Caribbean
2020,,Latin America & Caribbean
