Year,"Fertility rate, total (births per woman)",Country
1960,6.906805508,Middle East & North Africa
1961,6.921688227,Middle East & North Africa
1962,6.933832282,Middle East & North Africa
1963,6.940577026,Middle East & North Africa
1964,6.940658319,Middle East & North Africa
1965,6.931591857,Middle East & North Africa
1966,6.911719095,Middle East & North Africa
1967,6.879975017,Middle East & North Africa
1968,6.840179155,Middle East & North Africa
1969,6.79071358,Middle East & North Africa
1970,6.734328842,Middle East & North Africa
1971,6.673128748,Middle East & North Africa
1972,6.611542276,Middle East & North Africa
1973,6.548604511,Middle East & North Africa
1974,6.490641556,Middle East & North Africa
1975,6.440162714,Middle East & North Africa
1976,6.39459189,Middle East & North Africa
1977,6.353908129,Middle East & North Africa
1978,6.31517712,Middle East & North Africa
1979,6.27400554,Middle East & North Africa
1980,6.227125569,Middle East & North Africa
1981,6.170934236,Middle East & North Africa
1982,6.101309482,Middle East & North Africa
1983,6.016117178,Middle East & North Africa
1984,5.912395337,Middle East & North Africa
1985,5.786916462,Middle East & North Africa
1986,5.635926484,Middle East & North Africa
1987,5.464518551,Middle East & North Africa
1988,5.276068931,Middle East & North Africa
1989,5.074428483,Middle East & North Africa
1990,4.877631573,Middle East & North Africa
1991,4.663900408,Middle East & North Africa
1992,4.466094818,Middle East & North Africa
1993,4.261009606,Middle East & North Africa
1994,4.065265472,Middle East & North Africa
1995,3.873931089,Middle East & North Africa
1996,3.706754489,Middle East & North Africa
1997,3.555273184,Middle East & North Africa
1998,3.419029365,Middle East & North Africa
1999,3.297493012,Middle East & North Africa
2000,3.193506238,Middle East & North Africa
2001,3.106122279,Middle East & North Africa
2002,3.034536278,Middle East & North Africa
2003,2.979306873,Middle East & North Africa
2004,2.934063134,Middle East & North Africa
2005,2.901936583,Middle East & North Africa
2006,2.884049327,Middle East & North Africa
2007,2.877105763,Middle East & North Africa
2008,2.879544511,Middle East & North Africa
2009,2.886097615,Middle East & North Africa
2010,2.896203225,Middle East & North Africa
2011,2.904100882,Middle East & North Africa
2012,2.910690812,Middle East & North Africa
2013,2.910271898,Middle East & North Africa
2014,2.904217832,Middle East & North Africa
2015,2.88941192,Middle East & North Africa
2016,2.866932543,Middle East & North Africa
2017,2.839241745,Middle East & North Africa
2018,2.808947919,Middle East & North Africa
2019,,Middle East & North Africa
2020,,Middle East & North Africa
