Year,"Fertility rate, total (births per woman)",Country
1960,6.044706451,South Asia
1961,6.043408909,South Asia
1962,6.038920828,South Asia
1963,6.029620756,South Asia
1964,6.014404558,South Asia
1965,5.992379387,South Asia
1966,5.964457945,South Asia
1967,5.930238548,South Asia
1968,5.890368076,South Asia
1969,5.845746757,South Asia
1970,5.794839488,South Asia
1971,5.737287557,South Asia
1972,5.673427482,South Asia
1973,5.604109353,South Asia
1974,5.531065972,South Asia
1975,5.456507242,South Asia
1976,5.383088808,South Asia
1977,5.312713099,South Asia
1978,5.245703667,South Asia
1979,5.181604748,South Asia
1980,5.119454828,South Asia
1981,5.055666154,South Asia
1982,4.988771767,South Asia
1983,4.917283268,South Asia
1984,4.840002982,South Asia
1985,4.75688465,South Asia
1986,4.668270574,South Asia
1987,4.576607237,South Asia
1988,4.48391457,South Asia
1989,4.390456223,South Asia
1990,4.29989729,South Asia
1991,4.210600134,South Asia
1992,4.125217695,South Asia
1993,4.043559141,South Asia
1994,3.963596978,South Asia
1995,3.886308796,South Asia
1996,3.810682393,South Asia
1997,3.735130611,South Asia
1998,3.658897274,South Asia
1999,3.583358142,South Asia
2000,3.507214774,South Asia
2001,3.432358593,South Asia
2002,3.357392074,South Asia
2003,3.283697974,South Asia
2004,3.210025965,South Asia
2005,3.136436577,South Asia
2006,3.060075211,South Asia
2007,2.982348113,South Asia
2008,2.902631163,South Asia
2009,2.822670699,South Asia
2010,2.745884201,South Asia
2011,2.67477845,South Asia
2012,2.611199461,South Asia
2013,2.555691449,South Asia
2014,2.508767314,South Asia
2015,2.470078836,South Asia
2016,2.438061113,South Asia
2017,2.410617478,South Asia
2018,2.384749671,South Asia
2019,,South Asia
2020,,South Asia
