Year,"Fertility rate, total (births per woman)",Country
1960,4.980114882,World
1961,5.002561309,World
1962,5.024329218,World
1963,5.044498036,World
1964,5.05542178,World
1965,5.039678483,World
1966,4.990907123,World
1967,4.972374782,World
1968,4.92204007,World
1969,4.855084073,World
1970,4.777740908,World
1971,4.669267281,World
1972,4.539701807,World
1973,4.410906516,World
1974,4.288770752,World
1975,4.156650982,World
1976,4.040383821,World
1977,3.936742376,World
1978,3.84308026,World
1979,3.773425292,World
1980,3.713664553,World
1981,3.656619972,World
1982,3.627168543,World
1983,3.594587567,World
1984,3.564220246,World
1985,3.53601583,World
1986,3.499520499,World
1987,3.455152601,World
1988,3.398925996,World
1989,3.324333338,World
1990,3.248472332,World
1991,3.157392739,World
1992,3.071604901,World
1993,2.987709255,World
1994,2.921920469,World
1995,2.86256282,World
1996,2.816970063,World
1997,2.777102018,World
1998,2.746180649,World
1999,2.716363262,World
2000,2.696002898,World
2001,2.666301037,World
2002,2.643688591,World
2003,2.624824136,World
2004,2.608543893,World
2005,2.58798218,World
2006,2.57709629,World
2007,2.567092096,World
2008,2.55502606,World
2009,2.534249382,World
2010,2.516362717,World
2011,2.498760087,World
2012,2.489334124,World
2013,2.472965367,World
2014,2.465592897,World
2015,2.456207936,World
2016,2.445518819,World
2017,2.428138365,World
2018,2.414974733,World
2019,,World
2020,,World
