Year,Armed forces personnel (percent of total labor force),Country
1960,,Ethiopia
1961,,Ethiopia
1962,,Ethiopia
1963,,Ethiopia
1964,,Ethiopia
1965,,Ethiopia
1966,,Ethiopia
1967,,Ethiopia
1968,,Ethiopia
1969,,Ethiopia
1970,,Ethiopia
1971,,Ethiopia
1972,,Ethiopia
1973,,Ethiopia
1974,,Ethiopia
1975,,Ethiopia
1976,,Ethiopia
1977,,Ethiopia
1978,,Ethiopia
1979,,Ethiopia
1980,,Ethiopia
1981,,Ethiopia
1982,,Ethiopia
1983,,Ethiopia
1984,,Ethiopia
1985,,Ethiopia
1986,,Ethiopia
1987,,Ethiopia
1988,,Ethiopia
1989,,Ethiopia
1990,1.248476921,Ethiopia
1991,0.579507513,Ethiopia
1992,0.559505092,Ethiopia
1993,0.540751702,Ethiopia
1994,0.522370517,Ethiopia
1995,0.502022019,Ethiopia
1996,0.484518718,Ethiopia
1997,0.467895433,Ethiopia
1998,0.451991906,Ethiopia
1999,1.184124266,Ethiopia
2000,1.237916269,Ethiopia
2001,0.858923178,Ethiopia
2002,0.83116561,Ethiopia
2003,0.51711259,Ethiopia
2004,0.56064633,Ethiopia
2005,0.545361517,Ethiopia
2006,,Ethiopia
2007,0.387682234,Ethiopia
2008,0.375903373,Ethiopia
2009,0.364000623,Ethiopia
2010,0.352039793,Ethiopia
2011,0.339776706,Ethiopia
2012,0.327768388,Ethiopia
2013,0.31611269,Ethiopia
2014,0.305495979,Ethiopia
2015,0.295384615,Ethiopia
2016,0.286065768,Ethiopia
2017,0.277085188,Ethiopia
2018,,Ethiopia
2019,,Ethiopia
2020,,Ethiopia
