Year,GDP (current US dollar),Country
1960,,Ethiopia
1961,,Ethiopia
1962,,Ethiopia
1963,,Ethiopia
1964,,Ethiopia
1965,,Ethiopia
1966,,Ethiopia
1967,,Ethiopia
1968,,Ethiopia
1969,,Ethiopia
1970,,Ethiopia
1971,,Ethiopia
1972,,Ethiopia
1973,,Ethiopia
1974,,Ethiopia
1975,,Ethiopia
1976,,Ethiopia
1977,,Ethiopia
1978,,Ethiopia
1979,,Ethiopia
1980,,Ethiopia
1981,7324903188,Ethiopia
1982,7707678019,Ethiopia
1983,8567890821,Ethiopia
1984,8096302367,Ethiopia
1985,9480840483,Ethiopia
1986,9848600870,Ethiopia
1987,10527338647,Ethiopia
1988,10908935749,Ethiopia
1989,11476584879,Ethiopia
1990,12175166763,Ethiopia
1991,13463868357,Ethiopia
1992,10492993078,Ethiopia
1993,8830712714,Ethiopia
1994,6927950565,Ethiopia
1995,7663984568,Ethiopia
1996,8547939731,Ethiopia
1997,8589211390,Ethiopia
1998,7818224906,Ethiopia
1999,7700833482,Ethiopia
2000,8242392104,Ethiopia
2001,8231326016,Ethiopia
2002,7850809498,Ethiopia
2003,8623691300,Ethiopia
2004,10131187261,Ethiopia
2005,12401139454,Ethiopia
2006,15280861835,Ethiopia
2007,19707616773,Ethiopia
2008,27066912635,Ethiopia
2009,32437389116,Ethiopia
2010,29933790334,Ethiopia
2011,31952763089,Ethiopia
2012,43310721414,Ethiopia
2013,47648211133,Ethiopia
2014,55612228234,Ethiopia
2015,64589334979,Ethiopia
2016,74296618481,Ethiopia
2017,81770791971,Ethiopia
2018,84269348327,Ethiopia
2019,96107662398,Ethiopia
2020,,Ethiopia
