Year,GDP growth (annual Percent),Country
1960,,Ethiopia
1961,,Ethiopia
1962,,Ethiopia
1963,,Ethiopia
1964,,Ethiopia
1965,,Ethiopia
1966,,Ethiopia
1967,,Ethiopia
1968,,Ethiopia
1969,,Ethiopia
1970,,Ethiopia
1971,,Ethiopia
1972,,Ethiopia
1973,,Ethiopia
1974,,Ethiopia
1975,,Ethiopia
1976,,Ethiopia
1977,,Ethiopia
1978,,Ethiopia
1979,,Ethiopia
1980,,Ethiopia
1981,,Ethiopia
1982,0.916013858,Ethiopia
1983,8.235005718,Ethiopia
1984,-2.848021453,Ethiopia
1985,-11.14435298,Ethiopia
1986,9.661612359,Ethiopia
1987,13.8593304,Ethiopia
1988,0.503674879,Ethiopia
1989,-0.36104418,Ethiopia
1990,2.726451783,Ethiopia
1991,-7.1374797,Ethiopia
1992,-8.672480148,Ethiopia
1993,13.14283398,Ethiopia
1994,3.189964582,Ethiopia
1995,6.127511414,Ethiopia
1996,12.42617378,Ethiopia
1997,3.133906851,Ethiopia
1998,-3.458139134,Ethiopia
1999,5.162145821,Ethiopia
2000,6.07321748,Ethiopia
2001,8.301306321,Ethiopia
2002,1.514725706,Ethiopia
2003,-2.161359722,Ethiopia
2004,13.57260314,Ethiopia
2005,11.81876595,Ethiopia
2006,10.83472707,Ethiopia
2007,11.456167,Ethiopia
2008,10.78852169,Ethiopia
2009,8.802553198,Ethiopia
2010,12.55053835,Ethiopia
2011,11.17829623,Ethiopia
2012,8.647811633,Ethiopia
2013,10.58227005,Ethiopia
2014,10.25749296,Ethiopia
2015,10.39246302,Ethiopia
2016,9.433482658,Ethiopia
2017,9.564189643,Ethiopia
2018,6.816147797,Ethiopia
2019,8.281361047,Ethiopia
2020,,Ethiopia
