Year,Armed forces personnel (percent of total labor force),Country
1960,,Central African Republic
1961,,Central African Republic
1962,,Central African Republic
1963,,Central African Republic
1964,,Central African Republic
1965,,Central African Republic
1966,,Central African Republic
1967,,Central African Republic
1968,,Central African Republic
1969,,Central African Republic
1970,,Central African Republic
1971,,Central African Republic
1972,,Central African Republic
1973,,Central African Republic
1974,,Central African Republic
1975,,Central African Republic
1976,,Central African Republic
1977,,Central African Republic
1978,,Central African Republic
1979,,Central African Republic
1980,,Central African Republic
1981,,Central African Republic
1982,,Central African Republic
1983,,Central African Republic
1984,,Central African Republic
1985,,Central African Republic
1986,,Central African Republic
1987,,Central African Republic
1988,,Central African Republic
1989,,Central African Republic
1990,0.348647987,Central African Republic
1991,0.340117255,Central African Republic
1992,0.330442785,Central African Republic
1993,0.320659018,Central African Republic
1994,0.311197105,Central African Republic
1995,0.37788382,Central African Republic
1996,0.368232169,Central African Republic
1997,0.359482834,Central African Republic
1998,0.347562568,Central African Republic
1999,0.342832302,Central African Republic
2000,0.361261284,Central African Republic
2001,0.275464929,Central African Republic
2002,0.228249583,Central African Republic
2003,0.22668455,Central African Republic
2004,0.123502532,Central African Republic
2005,0.18158894,Central African Republic
2006,,Central African Republic
2007,0.175408849,Central African Republic
2008,0.172553224,Central African Republic
2009,0.178782542,Central African Republic
2010,0.17686822,Central African Republic
2011,0.176434412,Central African Republic
2012,0.45690874,Central African Republic
2013,0.45548564,Central African Republic
2014,0.455751557,Central African Republic
2015,0.454881097,Central African Republic
2016,0.449798363,Central African Republic
2017,0.435076758,Central African Republic
2018,,Central African Republic
2019,,Central African Republic
2020,,Central African Republic
