Year,Armed forces personnel (percent of total labor force),Country
1960,,Nigeria
1961,,Nigeria
1962,,Nigeria
1963,,Nigeria
1964,,Nigeria
1965,,Nigeria
1966,,Nigeria
1967,,Nigeria
1968,,Nigeria
1969,,Nigeria
1970,,Nigeria
1971,,Nigeria
1972,,Nigeria
1973,,Nigeria
1974,,Nigeria
1975,,Nigeria
1976,,Nigeria
1977,,Nigeria
1978,,Nigeria
1979,,Nigeria
1980,,Nigeria
1981,,Nigeria
1982,,Nigeria
1983,,Nigeria
1984,,Nigeria
1985,,Nigeria
1986,,Nigeria
1987,,Nigeria
1988,,Nigeria
1989,,Nigeria
1990,0.293214288,Nigeria
1991,0.286066321,Nigeria
1992,0.225836706,Nigeria
1993,0.219982409,Nigeria
1994,0.225464807,Nigeria
1995,0.244512968,Nigeria
1996,0.238740179,Nigeria
1997,0.27964762,Nigeria
1998,0.272578249,Nigeria
1999,0.307561651,Nigeria
2000,0.257415133,Nigeria
2001,0.378710192,Nigeria
2002,0.37044127,Nigeria
2003,0.361370547,Nigeria
2004,0.351457337,Nigeria
2005,0.344585387,Nigeria
2006,0.338110663,Nigeria
2007,0.32953889,Nigeria
2008,0.321065099,Nigeria
2009,0.312873728,Nigeria
2010,0.304874296,Nigeria
2011,0.297036739,Nigeria
2012,0.301764051,Nigeria
2013,0.306853429,Nigeria
2014,0.301723023,Nigeria
2015,0.36657392,Nigeria
2016,0.361741718,Nigeria
2017,0.378312309,Nigeria
2018,,Nigeria
2019,,Nigeria
2020,,Nigeria
