year,"Fertility rate, total (births per woman)",Country
1960,5.756,China
1961,5.905,China
1962,6.062,China
1963,6.206,China
1964,6.32,China
1965,6.385,China
1966,6.384,China
1967,6.316,China
1968,6.184,China
1969,5.986,China
1970,5.725,China
1971,5.403,China
1972,5.035,China
1973,4.643,China
1974,4.244,China
1975,3.859,China
1976,3.508,China
1977,3.2,China
1978,2.943,China
1979,2.745,China
1980,2.613,China
1981,2.547,China
1982,2.536,China
1983,2.561,China
1984,2.607,China
1985,2.65,China
1986,2.666,China
1987,2.643,China
1988,2.575,China
1989,2.46,China
1990,2.309,China
1991,2.14,China
1992,1.977,China
1993,1.838,China
1994,1.731,China
1995,1.66,China
1996,1.622,China
1997,1.605,China
1998,1.597,China
1999,1.595,China
2000,1.596,China
2001,1.597,China
2002,1.6,China
2003,1.604,China
2004,1.608,China
2005,1.612,China
2006,1.615,China
2007,1.617,China
2008,1.62,China
2009,1.623,China
2010,1.627,China
2011,1.632,China
2012,1.639,China
2013,1.647,China
2014,1.656,China
2015,1.665,China
2016,1.675,China
2017,1.683,China
2018,1.69,China
2019,,China
2020,,China
