Year,"Fertility rate, total (births per woman)",Country
1960,5.396405697,East Asia & Pacific
1961,5.471164481,East Asia & Pacific
1962,5.545253553,East Asia & Pacific
1963,5.619571166,East Asia & Pacific
1964,5.677623018,East Asia & Pacific
1965,5.716043891,East Asia & Pacific
1966,5.645717942,East Asia & Pacific
1967,5.639848591,East Asia & Pacific
1968,5.568985453,East Asia & Pacific
1969,5.433208053,East Asia & Pacific
1970,5.263827541,East Asia & Pacific
1971,5.052297831,East Asia & Pacific
1972,4.787644126,East Asia & Pacific
1973,4.518743347,East Asia & Pacific
1974,4.226250695,East Asia & Pacific
1975,3.933121952,East Asia & Pacific
1976,3.674585855,East Asia & Pacific
1977,3.445366455,East Asia & Pacific
1978,3.246553153,East Asia & Pacific
1979,3.099313586,East Asia & Pacific
1980,2.983761788,East Asia & Pacific
1981,2.90647309,East Asia & Pacific
1982,2.86695928,East Asia & Pacific
1983,2.845425601,East Asia & Pacific
1984,2.836305313,East Asia & Pacific
1985,2.828534683,East Asia & Pacific
1986,2.803047315,East Asia & Pacific
1987,2.759234874,East Asia & Pacific
1988,2.692569052,East Asia & Pacific
1989,2.58831521,East Asia & Pacific
1990,2.471901236,East Asia & Pacific
1991,2.346213574,East Asia & Pacific
1992,2.223626003,East Asia & Pacific
1993,2.110944078,East Asia & Pacific
1994,2.026840434,East Asia & Pacific
1995,1.959260732,East Asia & Pacific
1996,1.91614192,East Asia & Pacific
1997,1.887927683,East Asia & Pacific
1998,1.865542643,East Asia & Pacific
1999,1.8532199,East Asia & Pacific
2000,1.850592774,East Asia & Pacific
2001,1.835640265,East Asia & Pacific
2002,1.827932183,East Asia & Pacific
2003,1.822761196,East Asia & Pacific
2004,1.819949377,East Asia & Pacific
2005,1.814965639,East Asia & Pacific
2006,1.818350728,East Asia & Pacific
2007,1.821131967,East Asia & Pacific
2008,1.820310095,East Asia & Pacific
2009,1.818401058,East Asia & Pacific
2010,1.819649139,East Asia & Pacific
2011,1.82263956,East Asia & Pacific
2012,1.828716079,East Asia & Pacific
2013,1.825113972,East Asia & Pacific
2014,1.827716086,East Asia & Pacific
2015,1.831081638,East Asia & Pacific
2016,1.829611266,East Asia & Pacific
2017,1.825949415,East Asia & Pacific
2018,1.823004187,East Asia & Pacific
2019,,East Asia & Pacific
2020,,East Asia & Pacific
