Year,"Fertility rate, total (births per woman)",Country
1960,3.668386718,North America
1961,3.632240494,North America
1962,3.481316723,North America
1963,3.345696904,North America
1964,3.214764533,North America
1965,2.931904424,North America
1966,2.72364019,North America
1967,2.555146424,North America
1968,2.456517576,North America
1969,2.444224512,North America
1970,2.458482587,North America
1971,2.253659775,North America
1972,2.007030467,North America
1973,1.880092535,North America
1974,1.835199712,North America
1975,1.779021841,North America
1976,1.743845482,North America
1977,1.78919167,North America
1978,1.760808964,North America
1979,1.802540573,North America
1980,1.829410971,North America
1981,1.800628121,North America
1982,1.813532799,North America
1983,1.786931331,North America
1984,1.790655884,North America
1985,1.826422257,North America
1986,1.821078366,North America
1987,1.852529712,North America
1988,1.908162066,North America
1989,1.988999261,North America
1990,2.055205556,North America
1991,2.025285878,North America
1992,2.011581456,North America
1993,1.986849439,North America
1994,1.96762797,North America
1995,1.943485429,North America
1996,1.936969214,North America
1997,1.928315137,North America
1998,1.951547804,North America
1999,1.957272594,North America
2000,1.998927144,North America
2001,1.978204982,North America
2002,1.968238347,North America
2003,1.994903645,North America
2004,1.998607226,North America
2005,2.005380787,North America
2006,2.055428214,North America
2007,2.073474066,North America
2008,2.032451724,North America
2009,1.968149876,North America
2010,1.900118856,North America
2011,1.865641575,North America
2012,1.853500067,North America
2013,1.830089209,North America
2014,1.83409536,North America
2015,1.815216619,North America
2016,1.792523584,North America
2017,1.73824474,North America
2018,1.706032485,North America
2019,,North America
2020,,North America
