Year,"Fertility rate, total (births per woman)",Country
1960,6.60086876,Sub-Saharan Africa
1961,6.617008185,Sub-Saharan Africa
1962,6.632195203,Sub-Saharan Africa
1963,6.646466817,Sub-Saharan Africa
1964,6.659067906,Sub-Saharan Africa
1965,6.670938611,Sub-Saharan Africa
1966,6.682992003,Sub-Saharan Africa
1967,6.696431429,Sub-Saharan Africa
1968,6.711123876,Sub-Saharan Africa
1969,6.726977974,Sub-Saharan Africa
1970,6.743426268,Sub-Saharan Africa
1971,6.759170416,Sub-Saharan Africa
1972,6.773758877,Sub-Saharan Africa
1973,6.785640918,Sub-Saharan Africa
1974,6.793948684,Sub-Saharan Africa
1975,6.798620833,Sub-Saharan Africa
1976,6.79942529,Sub-Saharan Africa
1977,6.797913251,Sub-Saharan Africa
1978,6.793093574,Sub-Saharan Africa
1979,6.78510318,Sub-Saharan Africa
1980,6.773409657,Sub-Saharan Africa
1981,6.756637861,Sub-Saharan Africa
1982,6.734075163,Sub-Saharan Africa
1983,6.707450588,Sub-Saharan Africa
1984,6.674358244,Sub-Saharan Africa
1985,6.635130629,Sub-Saharan Africa
1986,6.589270339,Sub-Saharan Africa
1987,6.536303601,Sub-Saharan Africa
1988,6.478419164,Sub-Saharan Africa
1989,6.41472989,Sub-Saharan Africa
1990,6.347730005,Sub-Saharan Africa
1991,6.277412305,Sub-Saharan Africa
1992,6.207513083,Sub-Saharan Africa
1993,6.140673097,Sub-Saharan Africa
1994,6.077455112,Sub-Saharan Africa
1995,6.018316933,Sub-Saharan Africa
1996,5.961994197,Sub-Saharan Africa
1997,5.907775939,Sub-Saharan Africa
1998,5.855644616,Sub-Saharan Africa
1999,5.805019344,Sub-Saharan Africa
2000,5.755293112,Sub-Saharan Africa
2001,5.706678425,Sub-Saharan Africa
2002,5.659602674,Sub-Saharan Africa
2003,5.613046868,Sub-Saharan Africa
2004,5.567295633,Sub-Saharan Africa
2005,5.521001537,Sub-Saharan Africa
2006,5.472827617,Sub-Saharan Africa
2007,5.423245379,Sub-Saharan Africa
2008,5.371375441,Sub-Saharan Africa
2009,5.316514972,Sub-Saharan Africa
2010,5.257986594,Sub-Saharan Africa
2011,5.195216714,Sub-Saharan Africa
2012,5.128314098,Sub-Saharan Africa
2013,5.058320989,Sub-Saharan Africa
2014,4.986261367,Sub-Saharan Africa
2015,4.912890461,Sub-Saharan Africa
2016,4.838671406,Sub-Saharan Africa
2017,4.765199664,Sub-Saharan Africa
2018,4.693243438,Sub-Saharan Africa
2019,,Sub-Saharan Africa
2020,,Sub-Saharan Africa
